rep_number,first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
144,Trond,Giske,A,,"Styreleder i AØF, driftsorganisasjonen for Folkets Hus i
Trondheim. Honoreres pr styremøte.",,,,,,,,,,,,
21,Sigbjørn,Gjelsvik,Sp,,,,"Norske Landbrukstenester Sunnfjord - oppdrag som avløser/omstilling av gårsdrifta ifm min fars dødsfall. Inntekt i 2018 (timebasis): 40.355 (i tillegg utbetalt feriepenger i 2019 - ingen forventede inntekter i 2019 utover
dette).",,,,,"1. Klassekampen, org.nr. 925.350.605, ant aksjer: 2,
2. Industriholding Norge AS, 6097 aksjer",,,,,
141,Arild,Grande,A,True,,,,,,,,,,,,,
148,Heidi,Greni,Sp,,"Kommunestyremedlem i Holtålen kommune (ingen
godtgjørelse)",,,Permisjon uten lønn fra Coop Oppdal,,,,"Aksjer i Haltdalen Sparebank, Holtålen kommune (eierandel mindre enn 1%)",,,,,
160,Carl-Erik,Grimstad,V,,"Permisjon fra vervet som varaordfører i Tjøme kommune, fra 1.1.2018 1. vararepresentant for Venstre i Færder
kommunestyre (møtehonorar)Politisk nestleder Vestfold
Venstre, ulønnet.","Eneaksjonær i selskapet Public Step AS orgnr.
976701763MVA, omsetning de siste tre årene gj.snittlig
500.000 knyttet til min kones virksomhet. Fra 1.1.2018
forventes liten eller ingen aktivitet i selskapet.",,"Permisjon uten lønn fra stilling som førsteamanuensis
ved Høyskolen Kristiania.",,,,"100% av aksjene i selskapet Public Step AS, orgnr.
976701763MVA (reklame/informasjon), omsetning de
siste årene ca. 500.000 (stort sett knyttet til min kones
virksomhet). Fra 1.1.2018 forventes minimal omsetning",,,,,
62,Ruth,Grung,A,,"FiskeriForum Vest, styreleder, ikke lønnet - 201101.06.2016.
Carte Blanche, dansekompani, styremedlem, lønnet 2012.
Anleggsutvalget for Norsk Håndballforbund region Vest,
medlem, ikke lønnet - 2013.
Representantskapet Kirkens Bymisjon Bergen, ikke lønnet - 2014-2016.
Programrådet for NRK Hordaland og Sogn og Fjordane,
vara, lønnet - 2011-2015.
Folkets Hus AS, vara - 2012-2015 - ikke møtt. Styret
Hordaland Idrettskrets, nestleder, ikke lønnet - 20142016.
styremedlen AV og TIL 2016 - honorar",,,Permisjon fra NAV Hordaland,,,,,,,,,
9,Hans Fredrik,Grøvan,KrF,,Parlamentarisk leder i Kristelig Folkeparti (godtgjørelse),,,,,,,,,,,,
134,Kent,Gudmundsen,H,,,Passiv medeier i Ferieguiden ANS,,,,,,,,,,,
18,Himanshu,Gulati,FrP,,"Styreleder i My Nordic Travel AS (ikke-lønnet styreverv).
Nestleder i styret i Watec Solutions AS (ikke-lønnet styreverv).
Styreleder i Alternative Development Organisation (ikke-lønnet styreverv).
Styremedlem i stiftelsen India Center (ikke-lønnet styreverv).
Ingen av styrevervene er lønnet, men jeg får dekket reisekostnader på reiser som skjer i.f.m arbeid i styrene.",,,,,,Jeg eier 4 utleieleiligheter i Oslo kommune.,"Jeg eier 100 % av aksjene i Shizzle AS.
Jeg eier 50 % av aksjene i My Nordic Travel AS.
Jeg eier 5 % av aksjene i Watec Solutions AS.","Jeg ble i januar 2019 tildelt æresprisen ""Pravasi Bharatiya Samman Award"" (diasporaprisen) av presidenten i
India. Den indiske regjeringen dekket flybillett og hotell
ifm. mottakelse av prisen.",,,,
153,Jon,Gunnes,V,,"Styremedlem i Foreningen Norden, ingen godtgjøring.",,,,,,,28 aksjer i Moelven Industrier ASA.,,,,,
86,Tore,Hagebakken,A,,"Styremedlem i Oplandske Dampskibsselskap AS
(Skibladner) - (godtgjørelse).",,,,,,,,,,,,
116,Margret,Hagerup,H,,"Medlem av generalforsamlingen i Sparebankstiftelsen
Time og Hå. Lønnet.",,,,,,,,,,,,
120,Terje,Halleland,FrP,,"Styreleder, Domizil AS (ikke lønnet)
Styremedlem Berge Sag Gruppen AS",,Se punkt 2,,,,,"Domizil AS (100 prosent)
3500 aksjer Axactor
500 aksjer Norsk Hydro
134 aksjer Orkla",,,,,
151,Lars,Haltbrekken,SV,,,Har et enkeltmannsforetak som ikke er aktivt.,,Har pensjonsrettigheter fra tiden jeg var leder i Naturvernforbundet,,,,10 aksjer i Klima2020,,"Jeg fikk sommeren 2018 festivalpass til Pstereofestivalen
i Trondheim. Verdien av festivalpasset var 1949 kroner.
Men skulle jeg kjøpt det selv ville det kommet en billettavgift på 60 kr i tillegg. Dermed kan det sies at gaven er
verdt 2009 kroner. Festivalpasset ble gitt av Pstereofestivalen.",,,
146,Eva Kristin,Hansen,A,,Styremedlem Midtnorsk Jazzsenter (godtgjørelse),,,,,,,,,,,,
166,Svein Roald,Hansen,A,,2. varamedlem til kontrollutvalget i Fredrikstad kommune fra høsten 2019 (møtegodtgjørelse),,,,,,,,,,,,
121,Øystein Langholm,Hansen,A,,"Stiftelsen Rogalandsforskning, nestleder (lønnet)
Stiftelsen Rogaland kurs- og konferansesenter RKK
(lønnet)",,,,,,,,,,,,
1,Svein,Harberg,H,,"Styremedlem Centre for Coastal Research - ikke lønnet
Parlamentarisk nestleder Høyres stortingsgruppe - godtgjørelse",,,,,,,,,,,,
60,Knut Arild,Hareide,KrF,,Styremedlem Plan (ulønnet),,,"Permisjon fra stilling som direktør for lederutvikling i
Schibsted ASA",,,,,"1.- 4. november 2010 - reise til Israel og de palestinske
områdene. Betalt av Kirkens nødhjelp",iPad uten 3G mottatt 30.05.2011 fra Kristent ledernettverk i Stavanger v/Terje Rott.,,,
41,Marianne,Haukland,H,,"Verdensarvsenteret for bergkunst - Alta museum
representantskapet.Møtegodtgjørelse
Fylkestinget i Finnmark
representant (H).Møtegodtgjørelse
Gruppeleder Kommunestyret i Alta
Herunder: Formannskapet, planutvalget, økonomiutvalget.Møtegodtgjørelse
Årlig godtgjørelse månedlige godtgjørelser 12 pst. stilling
- Permisjon overnevnte verv fra 1. oktober 2017.",,"Forvaltningsrevisor 100 %.
Vest-Finnmark kommunerevisjon IKS - Vefik IKS
Permisjon fra 1. oktober 2017",,,,,,,,,,
102,Stefan,Heggelund,H,True,,,,,,,,,,,,,
124,Ingrid,Heggø,A,True,,,,,,,,,,,,,
108,Astrid Nøklebye,Heiberg,H,True,,,,,,,,,,,,,
145,Linda C. Hofstad,Helleland,H,,"Styremedlem i Norsk Krisesenterforbund (møtegodtgjørelse)
Visepresident i WADA (ulønnet)",,,,,,,,,,,,
29,Trond,Helleland,H,,Parlamentarisk leder i Høyres stortingsgruppe (godtgjørelse),,,,,,,,,Sølvskål fra Høyre i anledning 50-årsdag 2012,,,
6,Kari,Henriksen,A,,Styremedlem i Hjernerådet fra våren 2017.,,,Har permisjon uten lønn fra Sørlandet Sykehus HF,,,,"DNB ASA. Eierandel: under 1%
Fred Olsen Energy ASA. Eierandel: under 1%
Storebrand ASA. Eierandel: under 1%",,"Mottok et armbåndsur merke a.b.art fra OSCE i Geneve,
2. oktober 2014.
Gave fra Stortingsgruppa i forbindelse med min 60 års
dag 2015
Medaljong fra Mongolia i forb med OSCE s sommermøte 2017",,,
137,Martin,Henriksen,A,,Styremedlem Utøya AS (ulønnet),,,,,,,Polaris Media ASA.,,,,,
56,Silje,Hjemdal,FrP,,,,,,,,,,"EPF studietur til Manila Filippinene
2-11 august 2019. Invitert og betalt av European Parliamentary Forum for Sexual & Reproductive Rights.",,,,
129,Bård,Hoksrud,FrP,,"Har fra og med 31. august 2018 søkt permisjon fra folkevalgte verv i Bamle kommune og Telemark fylkeskommune. Har gjennopptatt vervene etter at jeg gikk av som
statsråd den 22.01.2019
Medlem kommunestyret i Bamble kommune 20192023(møtegodtgjørelse).
Leder Kontrollutvalget i Bamble 2019-2023 (ledergodtgjørelse).
Medlem Fylkestinget i Telemark 2015-2019 (møtegodtgjørelse).
Medlem av samferdselsutvalget i Telemark FK 20152019 (møtegodtgjørelse).
Parlamentarisk 1. Nestleder Fremskrittspartiets stortingsgruppe (lønn)
Medlem KS Fylkesmøte for Bamble kommune. (Møtegodtgjørelse)",Hoksrud Consulting,Deltakelse 4-stjerners middag (Honorar) (2016),Permisjon fra stilling i Fremskrittspartiets Hovedorganisasjon,,,,,"11-16 september 2010 - studiereise til Taiwan. Reise og
opphold betalt av taiwanske myndigheter
17-19 april 2011- deltok på Telecruiset 2012 på Kiel fergen. Arrangørene dekket deltakeravgiften.
11-12 november 2011 - foredrag for VG Nett i Budapest,
Ungarn, som dekket reise og opphold og betalte honorar.","Samlegjenstander av div. pins, medaljer og klokker.
Mottatt deler av samlingen som gave. Verdi av hele samlingen ca. 5 000 kroner.
Åpnet kunstutstillingen til Thore Sveberg den 23. juni
2019, mottatt et lite malt bilde som takk for hjelpen.
Verdi ukjent.
Mottatt sett med treningstøy fra stiftelsen Aktiv mot
kreft(nov-2019).",,,
111,Solveig,Horne,FrP,,,,Fra juni 2019 2. nestleder i Fremskrittspartiets stortingsgruppe. Godtgjørelse/lønn,,,,,"1250 aksjer i DNO ASA. (Eierandel: mindre enn 1 prosent)
8 aksjer i Marine Harvest (Eierandel: mindre enn 1 prosent)
300 aksjer i Rec Silicon (Eierandel: mindre enn 1 prosent)","11. - 16. september 2010 - studiereise til Taiwan. Reise
og opphold betalt av taiwanske myndigheter.","Et par fjellsko merke La Sportiva fra Den Norske Turistforening ifbm. arrangementet Til Topps i juni 2015
Utstyr fra Norges Idrettsforbund. Verdi kr 3 000,- (Januar 2018)",,,
12,Anniken,Huitfeldt,A,,Medlem av sentralstyret i Arbeiderpartiet,,,Permisjon fra stilling som forsker ved forskningsstiftelsen FAFO,,,,,,"Jakke, gitt i gave fra Dale of Norway. Verdi 2500.
Deltakelse i 4 stjernes middag på TV Norge. Honorar
10.000 minus skatt. Gitt til Utøyafondet.
Deltagelse i ""Jaget"" på TV2. Honorar 10.000 minus
skatt. Gitt til Utøyafondet.",,,
40,Geir Adelsten,Iversen,Sp,,"Leder Sørøy Havfiskeklubb ikke lønnet
Styremedlem Vefik ikke lønnet. Godtgjørelse.
Kommunestyrerepresentant i Hasvik kommune. Godtgjørelse.",,,Har permisjon fra stilling som lærer ved Hasvik skole.,,,,,,"Mottatt maleri fra Mona Rydningen(Galleri C). Dato:
24.10. 2018.",,,
14,Nils Aage,Jegstad,H,,"Ungt Entreprenørskap Oslo og Akershus
Styremedlem
ulønnet",,,,,,,"Aksjer i Stolt-Nielsen Ltd
Storebrand ASA
Frontline",,,,,
66,Jan Steinar Engeli,Johansen,FrP,,"Medlem av Formannskapet i Averøy Kommune, Godtgjørelse
Medlem av Kommunestyret i Averøy, Godtgjørelse
Styreleder SG Metallteknikk AS, ulønnet
Styreleder Norgesbeslag AS, ulønnet
Styreleder Unika AS, Godtgjørelse
Styreleder Zebra Graphic AS, ulønnet
Nestleder Atlanterhavstunnelen AS, Godtgjørelse",,,,,,"Produksjonslokaler i Næringsveien 40, Røsand industriområde, 6530 Averøy","SG Metallteknikk AS (30%)
Norgesbeslag AS (50%)
Zebra Graphic AS (50%)",,,,,
87,Morten Ørsal,Johansen,FrP,,,"Småbruker. Hest, geit, høns, kaniner, påfugler og hunder.",,,,,,,,,,,
32,Kristin Ørmen,Johnsen,H,,"Styremedlem i Strømsgodset toppfotball. Vervet er ulønnet, får to sesongkort til hjemmekampene.",,,Permisjon fra Høgskolen i Buskerud. Ingen lønnsutbetalinger fra tidligere arbeidsgiver. Pensjon fra Statens Pensjonskasse.,"Avtale om gjeninntreden i Høgskolen i Sørøst-Norge i
lederstilling på nivå en eller to, ikke spesifisert dette yteligere.",,,,,,,,
46,Tor André,Johnsen,FrP,,,,,,,,,"Aksjer i Global Infrastruktur AS, Danefjellveien 1 og i
US Opportunities
Aksjer i Brumunddal Næringsbygg og Hafjell Helse- og
Handelsbygg",,,,,
98,Mudassar,Kapur,H,,,,,Permisjon fra SOS-Barnebyer Norge,,,,,,,,,
95,Kari Elisabeth,Kaski,SV,True,,,,,,,,,,,,,
103,Mazyar,Keshvari,Uav,True,,,,,,,,,,,,,
