rep_number,first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Ingen registrerte opplysninger
136,Tove Karoline,Knutsen,A,,,"Enkeltmannsfortaket ""Arctica musikkproduksjon"" for
ivaretakelse av mitt kunstneriske engasjement (enkeltkonserter, komponistoppdrag m.m., som vil være relativt
begrenset i stortingsperioden)
Rettighetsorganisasjonene TONO og GRAMO yter honorar etter faste satser for rettighetsbelagt materiale/åndsverk",,,,,,,,,
28,Martin,Kolberg,A,True,,,,,,,,,,,
135,Øyvind,Korsberg,FrP,,,,,,,,,12000 aksjer i ELTEK,,,
166,Stein Erik,Lauvås,A,,"Styremedlem Østfold Energi ( Styregodtgjøring gis )
Styremedlem Energiforum Østfold ( Ulønnet )
Varamedlem Styret Momarken toto/ Momarken travbane
( Ulønnet )",,Se punkt 2,Ulønnet Permisjon fra Handel og Kontor Norge,,,,,,,
163,Ulf,Leirstein,FrP,,"Varamedlem Moss bystyre (godtgjørelse pr. møte)
Leder kontrollutvalget Moss kommunale pensjonskasse
(godtgjørelse)
Styreleder Storesand feriekoloni (ulønnet)",,,,,,,A/S Momarken Travbane,,,
117,Hege Haukeland,Liadal,A,,"MS Utsira, styreleder (godtgjørelse)
Troms Fylkestrafikk, styremedlem (godtgjørelse)",,,,,,,,,,
18,Hans Andreas,Limi,FrP,,"Medlem kommunestyret i Bærum med møtegodtgjørelse.
Styremedlem CAN i Altea, rehabiliteringssenter som eies
av Bærum
kommune. Styrehonorar.
Styremedlem og daglig leder i Limi & Limi AS, eget
konsulentselskap.","Limi & Limi AS, konsulentselskap innen eiendomsutvikling og detaljhandel. Største oppdragsgiver i 2012 og
2013 har vært ICA Eiendom Norge AS. Selskapet legges
passivt fom regnskapsåret 2014.",,,,,,Limi & Limi AS,,,
79,Anna,Ljunggren,A,,"Jurymedlem i El Returs miljøpris fra 2009 (honorar)
Styremedlem Fredrikke Tønder-Olsens legat (ulønnet)
Styremedlem Petter Dass Stipendiefond (ulønnet)
Styremedlem i Nordisk informasjonskontor i NordNorge (ulønnet)",,,,,,,,,,
107,Heidi Nordby,Lunde,H,,,"Har registrert enkeltpersonsforetak, med omsetning på
underkant av 100 000 i året, men uten oppdrag fra samme oppdragsgiver på mer enn 50 000 kr.",,,,,,,,,
36,Per Olaf,Lundteigen,Sp,,Styremedlem Vestfossen Innkjøpslag AS (mottas godtgjørelse),Gardbruker,,,,,,Vestfossen Innkjøpslag AS,,,
61,Audun,Lysbakken,SV,,Leder i Sosialistisk Venstreparti (ulønnet),,,,,,,,,"Gavekort på middag for to - fra SVs partikontor og stortingsgruppe 12.6.13
Litografi ""Agitatoren"" av Steinar Hansen - fra LO SørTrøndelag på Tranmælkonferansen 15.6.13",
125,Bjørn,Lødemel,H,,"Styreleiar Lødemel Bok og Interiør A/S (ikkje honorar
per dags dato)
Leiar Hornindal Næringslag (uløna)",,,,,,"Eier del av Nordby, som er et næringsbygg med forretninger og leiligheter. Ligger i Hornindal kommune.",Lødemel Bok og Interiør A/S,,,
157,Kårstein Eidem,Løvaas,H,,,"Registrert enkeltmannsforetak ""Kårstein Eidem Løvaas"".
Rådgivning innenfor media/krisehåndtering og kommunikasjonsstrategi. Ingen virksomhet pr dd.",,"Permisjon fra P4 Radio Hele Norge AS så lenge jeg har
møteplikt i Stortinget.",,,,,,,
158,Sonja,Mandt,A,,"Styremedlem i hovedutvalget for Extrastiftelsen, møtegodtgjøring
Leder Vestfold AP, ulønna",,"Enkelte vakter som sykepleier ved Sykehuset i Vestfold
HF","Permisjon uten lønn fra Larvik sykehus, HF Vestfold",,,,,,"Boksett fra Sykepleierforbundet mottatt som medlem i
helse- og omsorgskomiteen i 2005-2009.",
99,Marianne,Marthinsen,A,,,,"Fast spaltist i Klassekampen, lønnet",,,,,,,,
16,Bente Stein,Mathisen,H,,"Medlem av fylkestinget, Akershus fylkeskommune,
godtgjørelse
Medlem av generalforsamlingen i Sparebankstiftelsen
DnB NOR, godtgjørelse
Medlem av styret for Henie Onstad Kunstsenter, godtgjørelse",,,,,,,,,,
109,Siri A.,Meling,H,,"Leder av overtakstnemd Eigersund kommune (møtegodtgjørelse)
Styremedlem i stiftelsen Haugesundskonferansen (ulønnet)
Styremedlem i stiftelsen Futura (ulønnet)
Varamedlem i styret til Egersund Chocholadefabrikk AS
(ulønnet)","Meling Consultants, enkeltmannsforetak (ingen aktivitet
de siste 8-10 år)",,Ulønnet permisjon fra stilling som regiondirektør i Fiskeridirektoratet Region Sør,,,,,,,
33,Torgeir,Micaelsen,A,,,"Styreformann i enkeltmannsforetaket Micaelsen Musikk,
Teater og Tekniske produksjoner",,,,,,,,,
7,Åse,Michaelsen,FrP,,,,,Permisjon fra SGS (sas),,,,,,,
168,Eirik,Milde,H,,"Styremedlem Halden Kanalselskap, ikke lønnet
Fast medlem fylkestinget i Østfold, møtegodtgjørelse
Fast medlem i kommunestyret Halden, møtegodtgjørelse",,,Permisjon fra Sarpsborg kommune gjeldende fra 2007,,,,,,,
15,Sverre,Myrli,A,,"Styremedlem Akershus fylkeskommunale pensjonskasse
(fast årlig godtgjørelse og godtgjørelse pr møte samt ett
gratis avisabonnement)
Varamedlem Skatteutvalget i Skedsmo kommune (møtegodtgjørelse)
Rådsmedlem i Norsk-Tysk Selskap (ingen godtgjøring)
Rådsmedlem i Nordmanns-Forbundet (ingen godtgjøring)
Styreleder i Den norsk-tyske Willy Brandt-stiftelsen
(ingen godtgjøring)",,,Permisjon uten lønn fra stilling som konsulent i Forsvarsbygg,,,,,"Generalforsamling i Atlantic Treaty Association (ATA),
Tallin, Estland september 2005. Opphold betalt av Den
norske Atlanterhavskomité.
Konferanse i Beograd 16-18 juni 2006. Hotellopphold
betalt av Atlantic Association of Young Political Leaders
(AAYPL)",Teppe mottatt som gave fra nasjonalforsamlingen i Aserbajdsjan på reise i regi av NATO's parlamentarikerforsamling i oktober 2006.,
124,Liv Signe,Navarsete,Sp,,Godtgjersle som leiar i Senterpartiet,,,,,,,,,,
67,Harald T.,Nesvik,FrP,,"Styremedlem i Tafjord Kraft AS (godtgjørelse)
Leder av Ålesundregionens Havneråd (godtgjørelse)",,Tilleggslønn som parlamenmtarisk leder i FrP,,,,,,,"Deltok 12.-13. juni 2003 og 14. og 15. juni 2004 med
ledsager på faglig seminar på Håholmen i Møre og
Romsdal i regi av Shell.
Sommeren 2010 - 1 stk førstedagsstemplet frimerke på
postkort i anledning EFTA's 50-års jubileum mottatt fra
Lichtenstein
Musikkspiller med 4 MB opptaksmulighet fra Norsk
Sjømannsforbund i forbindelse med paneldebatt",
56,Helge André,Njåstad,FrP,,"Medlem av kommunestyret, formannskapet og leiar i
planutvalet i Austevoll kommune, lønna
Styreleiar Austevoll bruselskap AS, lønna
Styreleiar Austevoll ASV, lønna",Diverse kronikker i aviser,,,,,,,,"Maleri av Marstein Fyr - Frå næringslivet i Austevoll v/
Magnus Stangeland - oktober 2013.
2 villsauskinn - John Inge Vik - oktober 2013.",
82,Janne Sjelmo,Nordås,Sp,,Styreleder Senter for kunnskap og likestilling (godtgjørelse),Regnskapspliktig og merverdiavgiftsregisterført som tidligere gårdbruker. Drift har opphørt.,,,,,"Eier landbrukseiendom i Hattfjelldal, ingen næringsvirksomhet nå.",,,,
129,Kristian,Norheim,FrP,True,,,,,,,,,,,
105,Marit,Nybakk,A,,"Medlem Rådet for SOS Barnebyer (ulønnet)
Medlem representantskapet for Oslosenteret for fred og
menneskerettigheter (ulønnet)",,,Permisjon uten lønn fra Norsk Tjenestemannslag,,,,,,"Bilde fra Kunsthøyskolen i forbindelse med debatten om
kunstfagstipendier",
122,Iselin,Nybø,V,,"Nestleder i IVAR IKS, lønnet.
Nestleder i IVAR Næring AS, lønnet.
Bystyremedlem i Stavanger kommune, lønnet.
Formannskapsmedlem i Stavanger kommune, lønnet.
4. vara kommunalutvalget i Stavanger kommune, lønnet.
Nestleder kommunalstyret for oppvekst i Stavanger
kommune, lønnet.
Styremedlem Norsk Vann BA, lønnet.
1. vara Joyvitae AS, ikke lønnet.
Vara til styret i Stiftelsen økonomisk, administrativ utdannelse og forskning (lønnet)",,,"Permisjon fra stilling som ansatt advokat i Advokatfirmaet Simonsen Vogt Wiig AS.
Mulig velferdsavtaler som forsikring fortsetter ut 2013.
Mulig jeg kommer til å jobbe noe på timebasis de neste
årene, omfang ikke avklart.",,,,,,,
68,Elisabeth Røbekk,Nørve,H,,"Styremedlem Ålesund Elektro AS (ulønnet)
Styremedlem Elektrogården AS (ulønnet)
Styremedlem Aspegt. 1 (ulønnet)
Styremedlem Aldri AS (ulønnet)",,,,,,"Egen bolig i Ålesund
Eier og leier ut et naust/båthus i Sula kommune","Interesser i familieaksjeselskap innen elektriske installasjoner og eiendom:
- Ålesund Elektro AS
- Elektrogården AS og underliggende selskaper",,"Deltok som mørebenkrepresentant med ledsager på fisketur med Norske Shell i Kristiansund 12. juni 2004.
Middag med overnatting og faglig seminar på Håholmen
13. juni. Deltok på tilsvarende tur 14.-15. juni 2003.
Sølvfat fra Høyre i forbindelse med 60-årsdag.",
10,Odd,Omland,A,,"Ordfører i Kvinesdal kommune
Knaben utvikling (ingen godtgjørelse),
Innovasjon Kvinesdal (ingen godtgjørelse)
Arbeidsutvalget eierne i Agder Energi (godtgjørelse pr.
møte)
Leder av representantskapet IRS (godtgjørelse pr. møte)",,Se pkt. 2,,,,,,,,
65,Helge,Orten,H,,"989 134 361 Oshaug AS styremedlem,
982 392 098 Oshaug Metall AS styremedlem (mottar
styrehonorar),
892 493 952 Grand Fiære Utvikling AS styremedlem,
991 069 402 Bygg Kompetanse AS styreleder (mottar
styrehonorar),
999 289 568 Orten Invest AS styreleder og daglig leder
(eget selskap),
998 599 865 Krabbevik AS styreleder (50% eiet av Orten
Invest AS),
983 147 003 Dacha DA styremedlem (andel i fritidsbolig),
985 186 049 Sund Bredbånd AS varamedlem,
887 493 952 Samspleis AS varamedlem - ikke møtt sendt melding om å fratre.",,,,,,,"999 289 568 Orten Invest AS (eier 100% av selskapet),
998 599 865 Krabbevik AS (Orten Invest AS eier 50%
av aksjene),
996 142 965 Attraktive Midsund AS (Krabbevik AS eier
50% av aksjene),
983 147 003 Dacha DA (40,03% av innskutt kapital),",,,
